mu_g,k_g,mu_i,k_i
3.950329559321042,3.390355369448394,5.045508200845497,13.135206437427808
3.8253025270100496,2.3721400808676814,4.757405337364333,14.259008235925764
4.176745891788227,1.678906800691231,4.775207343382124,14.040123925658492
4.196656408613244,2.2006880123745995,4.801043971173684,14.989332455158088
4.910335409050287,2.657681737113753,4.949431381359717,12.725701880307753
4.75067393663576,2.3346987873936778,4.914909986978439,13.44519799118831
4.85249765395658,2.56166575095734,4.867246782477861,12.79449358150117
3.755463711902231,3.287189127208876,4.74584053637011,14.091420634252538
4.338266229193604,2.8092867540039013,4.851196966557222,11.994983888012289
4.088847848219533,2.879428291695116,4.781359774783063,11.33936703331119
3.934041572278221,2.6848434765837963,4.754542637759975,15.300748380159263
4.1301688910383225,2.5875108311789212,4.9059057282935985,13.774322404935953
3.6816062710336346,3.376219498526093,4.755326574692358,16.714032142107655
3.8534063686998894,1.902239796299092,4.727988459929797,12.274184874533667
3.728934286367438,4.036014793409165,4.740459727625528,12.264582483445329
3.728934286367438,4.036014793409165,4.740459727625528,12.264582483445329
4.277716944908231,1.917869101308822,4.912816917108853,12.021378776999777
4.1138257749968625,2.6916569225889635,4.635392902355597,12.141765884260328
3.783041877751383,3.1360116868461643,4.945271081762135,12.787684188998098
4.215960837281189,2.566661007196845,4.5972271751005325,13.061553279963471
4.043520102827027,2.145788876174213,4.8272688539965225,13.51704745982702
4.043520102827027,2.145788876174213,4.8272688539965225,13.51704745982702
4.2891958445760405,3.3289502612366744,4.8681879171619515,12.510952718932522
4.310113038415722,2.9060705412926904,4.875427870158744,13.194989969732223
3.652812933893889,2.769461087149037,4.715372073400527,14.634938193798765
4.523896610984129,3.1911372325213496,4.9309412506049055,13.208748891817761
3.9477063718178265,2.8573889542270234,4.631616230400926,12.602695329731954
4.37251094643452,2.558619885035822,4.734725901705412,12.938845003586172
3.7016893751092828,2.2252634945681136,4.724767136042142,12.559955471869001
4.116851692128075,2.643193510156849,4.786622628218854,10.28629849909448
4.048851929994248,2.7622967050176097,4.8394339753734705,12.378178336236921
3.6512895110665085,3.2659660752061486,4.784168241859206,15.649063129956366
3.7791487150975,2.4082830312296046,4.7275231658525865,14.585780392527846
3.7303000552247765,3.0288301996720306,4.742417171435044,12.795262036394615
4.091577244426794,3.2157664315985035,4.792340070558985,14.556672244542776
4.298161365615431,2.114679776521534,4.8437354190684525,13.10836601998736
4.482602013559342,3.137962683702476,4.924588790338551,15.468408956228249
4.039744128833984,3.1769280300444405,4.961326171816938,12.63761441885581
3.9436148004048284,2.274900024436828,4.7338022970186895,15.434851085936367
4.074268873021829,3.5642002491300717,4.881315396723173,12.306101092978379
3.6719269230802727,2.236257619618008,4.836525730791781,13.182700467072044
4.220996870985467,3.4191870519117726,5.021018757744445,14.686967250185235
3.934466005249278,2.5828091214755178,4.715059744474662,14.808321333526036
4.356810126458986,2.589461295960102,4.760073305706461,12.562267415757056
4.679714623973832,2.6104763446022505,5.06900745779393,11.780216266926946
4.085198705689939,2.108159412915407,4.872328617517869,15.143185537430831
4.250069621321645,3.4817963348495455,4.803322008183489,12.974420255104496
4.0645180082797445,2.2540722810187934,4.901950458682002,13.17672882250351
4.285086841378732,2.8115755481413514,4.709464828234283,14.16477803391737
4.300686690158914,2.2266382197012415,4.94810670242963,16.730512539511984
4.298634421219628,2.6459906548878385,4.705933627943199,12.661608760316113
3.8007360533459984,3.1551576803197303,4.788345783926253,14.189492588661842
3.944192981849998,3.16740687210853,4.892797575210124,14.373712836256514
4.2201921327096565,2.6308647063372654,4.852485992764481,12.841457611772741
4.776437754051062,2.0959215677624212,4.825164329414073,12.774574804131223
3.8758183974532145,2.786307226080805,4.818091430563005,13.457289496159827
